ID,name,Avg,imageURLs,,Description,,Price,Tags,
13,Baracuda 2TB SATA III HDD,4.35,http://i.ebayimg.com/thumbs/images/g/qDAAAOSwXYtY35iY/s-l200.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,89.99,hdd sata,
14,Air-Fi  AF32 BT Wireless Headphones,4.12,https://i5.walmartimages.com/asr/95f342da-21c1-460a-844b-8b7c287ddb53_1.f9a6516364940207b5b171d752a90743.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"The black and red version of the MEE audio Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone enable you to enjoy your music over A2DP Bluetooth from Bluetooth compatible devices such as smartphones, tablets, and laptops, among others. ",,49,BT Wireless Headphones bluetooth,
15,Peerless - AV Projector Mounts,4.63,https://static.bhphoto.com/images/images500x500/Peerless_Industries_ACC570_Round_Ceiling_Plate_1233018025000_447994.jpg,,"Peerless-AV's Universal Portrait Projector Mount is the perfect mounting solution for holding a projector in multiple orientations. Whether the projector is needed in portrait orientation for digital signage, or positioned toward the floor in an interactive exhibit in a museum, the PJR125-POR provides mounting flexibility. ",,32,tv projector mount,
16,Kenwood  Speakers Pair ,4.44,http://pisces.bbystatic.com/image2/BestBuy_US/images/products/3583/3583073_sa.jpg,, 6.5 2-way speakers (pair)- Injection-Molded Polypropylene Cone Woofer with Rubber Surround- 150 Watts Peak Power- 50 Watts RMS- Impedance: 4 ohms- 1 Balanced Dome Tweeter- Sensitivity: 86 dB- Frequency Response: 60Hz - 20kHz- Cutout Diameter: 5-1/8- Mounting Depth: 2-7/8- Gross Weight: 4.6 lbs- Weight of Magnet (Woofer): 8.1 oz,,54.86,speaker,
17,Microsoft Surface Pro 4 keyboard,4.39,https://i5.walmartimages.com/asr/2a41f6f0-844e-4ace-b7e3-63faef991173_1.2179afeb48142c34d2c84adf91b42b02.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"Upgrade your Surface Pro with the onyx Surface Pro 4 Type Cover with Fingerprint Reader fromMicrosoft. This ultra-thin type cover features animproved backlit mechanical QWERTY keyboard withslightly spread out keys for a more familiar and efficient typing experience. Buds speaker, improved bass, and an open fit, playlists sound more like live music than ever before",,159.09,keyboard,
18,Ultimate Bluetooth Speaker,3.76,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6019/6019903cv20d.jpg,,"Play your favorite music with this Ultimate Ears MEGABLAST wireless speaker. It lets you make voice commands via Amazon Alexa within its 330-foot Wi-Fi range, and Bluetooth connectivity lets it pair with up to eight compatible devices. This rugged, water-resistant Ultimate Ears MEGABLAST wireless speaker withstands drops from up to 3 feet high.",,208.99,bluetooth speaker wifi,
19,Samsung LED Smart - HDTV,4.04,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5901/5901040_rd.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,599.99,LED Smart HDTV Monitor,
20,iHome  Stereo Bluetooth Speaker,3.52,http://pisces.bbystatic.com/image2/BestBuy_US/images/products/4525/4525009_sd.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,49.99,bluetooth speaker,
21,Polk Audio - 50 W Woofer,4.1,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8826/8826112_ra.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,99.99,Woofer ,
22,Corsair Apple 8 GB DDR3 ,4.82,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2824/2824528_500x500_sa.jpg,,Hand-sorted memory chips ensure high performance with generous Overclocking headroom. SPD Speed-2133MHz,,74.99,ram computer,
23,Virtually Invisible In-Wall Speakers,4.4,http://ecx.images-amazon.com/images/I/41UYqkPIMlL._SY300_QL70_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,599.99,speaker,
24,AVR-X1400H  A/V Receiver,3.43,https://images-na.ssl-images-amazon.com/images/I/714wHs4dkfL._SL1500_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,599.98,AV,
25,Elite Screens - Projector Screen,3.93,https://static.bhphoto.com/images/images500x500/elite_screens_electric110h_spectrum_series_110_electric_motorized_1399215933000_1038800.jpg,,"to meet your needs better, we have upgraded this home projector with latest 7500 Lumens led light source and featured with 1080P Full HD supported Resolution (Native 1280 * 720). The newest 3LCD color calibrating and adjusting technology works to restore more intricate color details than other mini projectors, which presents our customers a real, dynamic and color vibrant 1080P HD projection image quality",,255.57,Projector Screen monitor,
26,Sony - SRS-XB21 Bluetooth Speaker,4.07,https://static.bhphoto.com/images/images500x500/sony_srsxb21_b_srs_xb21_portable_wireless_bluetooth_1521571625000_1396857.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,98,bluetooth speaker,
27,Kenwood - Car Speakers,4.43,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3191/3191006_ra.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,59.99,Car Speakers bluetooth,
28,Hisense LED  4K UHD TV ,3.9,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6091/6091901_rd.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,799.99,led tv,
29,DENAQ - Adapter Satellite Pro Laptops,3.92,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6482/6482167_sa.jpg,,"Laptop charger 90W universal Compatible for most laptops Chromebooks Ultrabook's. Plug and play, Easy to use with automatic voltage adjustment. You can power your different brand laptops with just one laptop power cord",,21.99,laptop adapter charger,
30,House of Marley In-Ear Earbuds,3.7,https://i5.walmartimages.com/asr/c124aa15-b9e3-4a19-b2f6-de87ef4be649_1.2795f1e75070d7adc7a48cb77d7e43fc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"Equal parts earbud and ear bling, Galaxy Buds Live come in 4 colors you’ll want to rock all day . Active Noise Cancelling Wireless Charging",,22.18,earbuds,
31,JVC KD-X3 Digital Media Receiver with Bluetooth,4.55,"http://ecx.images-amazon.com/images/I/41WWqCoMxGL._SX38_SY50_CR,0,0,38,50_.jpg",,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,76.61,speaker bluetooth, 
32,iSimple Remote Control for Steering Wheel ,3.68,https://i5.walmartimages.com/asr/bfa9113f-df2b-46a9-a68f-4828b5a351de_1.1c7169dd242c2f8498c24bf7057abb51.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,tv projector mount tv wall mount,,27.43,car  hook-up accessories,
33,Turtle Beach Gaming Headset ,3.98,https://i.ebayimg.com/thumbs/images/g/Jf8AAOSwLx1avTKT/s-l96.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,24.95,Gaming Headset heaphones,
34,Toshiba - 3TB Internal Hard Drive,4.6,https://images-na.ssl-images-amazon.com/images/I/61qvCPV1RaL._SL1500_.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,139.99,hdd,
35,Yamaha WX-030BL Wireless Speaker ,3.65,https://images-na.ssl-images-amazon.com/images/I/A150%2BPNnhRL._SL1500_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,249.95, wireless speaker bluetooth,
36,SiriusXM SXEZR1V1 Satellite Radio Receiver,3.94,https://images-na.ssl-images-amazon.com/images/I/81M8D0-8HkL._SL1500_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,79.99,radio receiver car,
37, Pny Anarchy 16gb Ddr4 ,3.6,https://i.ebayimg.com/thumbs/images/g/hVEAAOSwKytZDw~e/s-l200.jpg,,Hand-sorted memory chips ensure high performance with generous Overclocking headroom. SPD Speed-2133MHz,,153.95,ram computer,
38,Samsung 24 Class Smart Led Tv,3.52,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5871/5871001ld.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,189.99,Smart Led Tv samsung,
39,WI-SP500 Wireless Headphones ,4.6,https://images-na.ssl-images-amazon.com/images/I/514qtPrqkxL._SL1200_.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,79.99,Headphones headset,
40,KICKER - KM Coaxial Marine Speaker,4.3,http://pisces.bbystatic.com/image2/BestBuy_US/images/products/7152/7152229_sa.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,143.95,speaker,
41,SVS - 12 500W Powered Subwoofer ,4.4,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5707/5707735cv12d.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,849.98,Subwoofer woofer speaker,
42,YU2 Powered Desktop Speakers ,4.1,http://ecx.images-amazon.com/images/I/41LmOK2USKL._SS40_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,199.99,speaker,
43, Klipsch KHO-7 Outdoor Environmental Speakers ,4.64,https://images-na.ssl-images-amazon.com/images/I/71YPYbd5-NL._SL1200_.jpg,,"Outdoor Tech Buckshot Pro Speaker: Enjoy hi-fi audio on the go with this speaker's Bluetooth technology, which pairs with your compatible laptop, smartphone or tablet. A passive bass port provides a thumping low end to help get the party going.",,399.99,outdoor speaker,
44,Slingbox M2,3.39,https://images-na.ssl-images-amazon.com/images/I/51lvnhB11BL._SL1000_.jpg,,set top box tv,,91.99,set top box tv,
45,Sony Mini Digital Video Cassettes,4.56,https://i5.walmartimages.com/asr/8a26ea29-695b-4e9b-b002-9d42730839b7_1.acc4d922fb91d62223bd84163ddf3d57.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,dvc cassettes,,19.99,dvc cassettes,
46,Sony SRSHG1/BLK Hi-Res Wireless Speaker,4.04,https://images-na.ssl-images-amazon.com/images/I/81DWbUc2GYL._SL1500_.jpg,,Wirelessly connect up to 2 smartphones or tablets to the speaker and take turns playing impressive stereo sound live-music reinforcement ,,198,sony Wireless Speaker,
47,Circle 2 2MP Network Camera,3.7,https://i5.walmartimages.com/asr/2d96074c-3814-4dc1-9a6f-cf34872e5314_1.a349acfdb5c403aee75070799afb58f6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,253.99,Camera,
48,T92UWH Portable Tripod Screen (45x80),4.04,https://static.bhphoto.com/images/images500x500/Elite_T92UWH_T92UWH_Portable_Tripod_Front_1241792163000_619884.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,136.54,monitor,
49,SanDisk Extreme 500 Portable SSD 500GB SDSSDEXT-500G-G25,4.54,https://www.westerndigital.com/content/dam/store/en-us/assets/products/internal-storage/ssd-plus-sata-iii-ssd/gallery/ssd-plus-sata-iii-ssd-front.png,,"Enjoy professional level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds*, Accelerates write speeds and maintains long term high performance with a larger variable buffer",,199.99,ssd,
50,"Power Acoustik - Gothic Series 10 Dual-Voice-Coil 2-Ohm Subwoofer - Black""",4,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8927/8927746_sa.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,85.8,woofer ,
51,Grind Headphones with Single-Button TapTech and Mic (Black),3.5,https://static.bhphoto.com/images/images500x500/skullcandy_s5grht_448_grind_headphones_with_mic_1438181409000_1172599.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,58.99,Headphones headset,
52,VE278Q 27 Widescreen LCD Computer Display,3.85,http://i.ebayimg.com/thumbs/images/g/VD8AAOSw6wRW~r-R/s-l96.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,202.21,monitor,
53,"MartinLogan - Dynamo 1000 12 1000-Watt Powered Subwoofer - Black""",4.52,https://images.crutchfieldonline.com/ImageHandler/trim/750/457/products/2013/24/839/g839DY1KB-B.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,999.99,woofer ,
54,Bestisan Active Subwoofer (Matte Gray),4.28,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4437/4437409_sa.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,239.99,woofer,
55,WD Easystore External USB 3.0 Portable 2TB Hard Drive - Black,3.25,https://images-na.ssl-images-amazon.com/images/I/71IjqLsinKL._SL1500_.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,119.99,hdd,
56,"Dell - P2418HT 24 IPS LED FHD Touch-Screen Monitor - Black""",5,https://static.bhphoto.com/images/images500x500/dell_p2418ht_24_touchscreen_fhd_1489442873000_1324921.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,386.37,monitor,
57,"Lenovo - 300-20ISH 20 All-In-One - Intel Pentium - 4GB Memory - 500GB Hard Drive - Black""",4.8,https://m.media-amazon.com/images/I/41L8XqUWWoL._AC_SX450_.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,449.99,hdd,
58,"Alienware Aw2518h 25 Led Fhd Gsync Monitor Black""",4.53,https://images-na.ssl-images-amazon.com/images/I/71a-ovHVU5L._SL1500_.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,620.99,monitor,
59,Canon PowerShot G5 X Digital Camera Free Accessory Kit,4.04,https://static.bhphoto.com/images/images500x500/canon_0510c001_powershot_g5x_digital_camera_1444709235000_1188052.jpg,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,933.95,camera,
60,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black),3.88,http://cdn.gsmarena.com/pics/14/10/marley-liberate-on/gsmarena_001.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,299.99,Headphones headset,
61,Sony X85J 85in HD Smart DLED TV,4.32,https://i5.walmartimages.com/asr/7413c001-1dfe-45a3-8eb3-809e0be5966c_1.0e83d03a63c43c5f69c1a1fa33c10a3c.jpeg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,429.99,led tv,
62,Akia Projection CineWhite Projection Surface,4.36,https://images-na.ssl-images-amazon.com/images/I/71Bl8JYxYvL._SL1000_.jpg,,"o meet your needs better, we have upgraded this home projector with latest 7500 Lumens led light source and featured with 1080P Full HD supported Resolution (Native 1280 * 720). The newest 3LCD color calibrating and adjusting technology works to restore more intricate color details than other mini projectors, which presents our customers a real, dynamic and color vibrant 1080P HD projection image quality",,462.95,projector,
63,Pupatio Gaming Headset,4.7,https://www.corsair.com/corsairmedia/sys_master/productcontent/CA-9011146-NA-Void_CarbonBlack_001.png,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,70.99,headphones,
64,JBL 650 Around-Ear Wireless Headphones (White),3.95,https://static.bhphoto.com/images/images500x500/jbl_v700nxtwht_everest_elite_700_around_ear_1462290298000_1240681.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,299.99,headphones,
65,Sony MDR-1A Headphone - Black (International Version U.S. warranty may not apply),4.49,https://images-na.ssl-images-amazon.com/images/I/81SYQYxvZnL._SL1500_.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,299.99,headphones,
66,Video Projection Screen 150 inch,4.2,https://www.bhphotovideo.com/images/images500x500/Elite_M80UWH_M80UWH_Manual_Series_Projection_1633952761_731139.jpg,,"o meet your needs better, we have upgraded this home projector with latest 7500 Lumens led light source and featured with 1080P Full HD supported Resolution (Native 1280 * 720). The newest 3LCD color calibrating and adjusting technology works to restore more intricate color details than other mini projectors, which presents our customers a real, dynamic and color vibrant 1080P HD projection image quality",,70.12,projector monitor,
67,Yamaha - AVENTAGE 7.2-Ch. 4K Ultra HD A/V Home Theater Receiver - Black,3.71,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5785/5785421_sd.jpg,,"Enjoy your favorite music from various sources using the Boytone 2.1 Multimedia Speakers with Bluetooth. An FM tuner picks up local broadcasts and connection ports accept MP3 files from SD cards or USB drives. Pair a compatible Bluetooth smartphone, tablet or other device for wireless streaming",,649.95,home theater,
68,MH30 Foldable On-Ear Headphones (Brown/Silver),3.9,https://www.bhphotovideo.com/images/images1000x1000/master_dynamic_mh30s2_foldable_on_ear_headphone_1201031.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,299,headphones,
69,SAMSUNG 65-Inch Class QLED Q80A Series,4.02,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6142/6142400cv12d.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,1297.99,led tv,
70,Samsung 970 PRO NVMe Series 1TB M.2 PCI-Express 3.0 x 4 Solid State..,4.31,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5686/5686102cv12d.jpg,,"Enjoy professional level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds*, Accelerates write speeds and maintains long term high performance with a larger variable buffer",,579.99,ssd,
71,JBL Tour ONE Wireless Noise Cancelling Bluetooth Headphones,4.38,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5688/5688025_sd.jpg,,"Maximizing your personal audio experience has never been easier than with SONY ZX-Series Monitor headphones. Built with comfort and performance in mind, there’s no need to compromise.",,59.99,headphones,
72,"LG - 75 Class - LED - UJ6470 Series - 2160p - Smart - 4K UHD TV with HDR""",2.96,https://images-na.ssl-images-amazon.com/images/I/71Wx9j-K0mL._SL1500_.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,1996.99,led,
73,Apple - Pre-Owned iPad 3 - 32GB - White,4.2,http://pisces.bbystatic.com/image2/BestBuy_US/images/products/5656/5656252_sa.jpg,,"Up to 10 hours of surﬁng the web on Wi‑Fi, watching video, or listening to music.; Up to 9 hours of surﬁng the web using cellular data network",,279.99,apple ipad,
74,"MSI Stealth 15M Gaming Laptop: 15.6"" 144Hz FHD 1080p Display",4.07,https://m.media-amazon.com/images/I/51SYIRa9oBL._AC_SL1024_.jpg,,"With its thin and light design, 6.5 millimeter micro-edge bezel display, and 82% screen to body ratio, you can take this PC anywhere and see more of what you love.  HP 15-inch Laptop, 11th Generation Intel Core i5",,2399,laptop,
75,SanDisk Professional 18TB G-DRIVE Enterprise-Class Desktop Hard Drive,3.67,https://www.techinn.com/f/13826/138263362/lenovo-2tb-sata-hard-disk-drive.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,849.99,hdd,
76,"LG 86NANO90UPA Alexa Built-In NanoCell 90 Series 86"" 4K Smart UHD",4.41,https://i5.walmartimages.com/asr/1f459e35-90f8-42f3-b0c7-f7bddbeed255_1.5725fc3b5ba91aa87ccd8b6d223d8d79.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,2399.99,led tv,
